"pubid","year","volfreq","volreasn","groupmeet","donate","donateamt"
1,2005,2,3,1,1,2
1,2007,1,NA,1,0,NA
1,2011,2,3,1,1,1
1,2013,3,3,1,1,1
2,2005,1,NA,1,0,NA
2,2007,NA,NA,NA,NA,NA
2,2011,2,3,1,1,1
2,2013,1,NA,1,0,NA
3,2005,NA,NA,NA,NA,NA
3,2007,NA,NA,NA,NA,NA
3,2011,1,NA,1,1,1
3,2013,2,3,1,1,1
4,2005,1,NA,1,0,NA
4,2007,1,NA,1,0,NA
4,2011,1,NA,1,0,NA
4,2013,1,NA,1,0,NA
5,2005,1,NA,1,1,1
5,2007,2,3,1,0,NA
5,2011,1,NA,1,0,NA
5,2013,2,3,2,1,2
6,2005,1,NA,1,0,NA
6,2007,NA,NA,1,0,NA
6,2011,1,NA,1,0,NA
6,2013,1,NA,1,0,NA
7,2005,1,NA,1,0,NA
7,2007,NA,NA,NA,NA,NA
7,2011,NA,NA,NA,NA,NA
7,2013,NA,NA,NA,NA,NA
8,2005,1,NA,1,0,NA
8,2007,2,3,1,1,2
8,2011,2,3,1,1,2
8,2013,NA,NA,NA,NA,NA
9,2005,3,NA,1,0,NA
9,2007,1,NA,1,0,NA
9,2011,1,NA,2,0,NA
9,2013,2,NA,1,0,NA
10,2005,1,NA,1,1,1
10,2007,2,3,1,0,NA
10,2011,NA,NA,NA,NA,NA
10,2013,NA,NA,NA,NA,NA
11,2005,1,NA,1,0,NA
11,2007,1,NA,1,0,NA
11,2011,1,NA,1,0,NA
11,2013,1,NA,1,0,NA
12,2005,NA,NA,NA,NA,NA
12,2007,3,3,2,1,2
12,2011,2,3,2,1,2
12,2013,4,3,2,1,2
13,2005,1,NA,1,0,NA
13,2007,1,NA,1,0,NA
13,2011,1,NA,1,0,NA
13,2013,1,NA,1,0,NA
14,2005,NA,NA,NA,NA,NA
14,2007,NA,NA,NA,NA,NA
14,2011,NA,NA,1,0,NA
14,2013,NA,NA,NA,NA,NA
15,2005,1,NA,1,1,NA
15,2007,NA,NA,NA,NA,NA
15,2011,2,3,1,1,1
15,2013,NA,NA,NA,NA,NA
16,2005,1,NA,1,0,NA
16,2007,1,NA,1,0,NA
16,2011,3,3,3,1,3
16,2013,1,NA,2,1,1
17,2005,NA,NA,NA,NA,NA
17,2007,NA,NA,NA,NA,NA
17,2011,NA,NA,NA,NA,NA
17,2013,NA,NA,NA,NA,NA
18,2005,1,NA,1,0,NA
18,2007,2,3,3,0,NA
18,2011,3,3,1,0,NA
18,2013,4,3,2,0,NA
19,2005,1,NA,1,0,NA
19,2007,NA,NA,NA,NA,NA
19,2011,2,1,1,0,NA
19,2013,NA,NA,NA,NA,NA
20,2005,NA,NA,NA,NA,NA
20,2007,NA,NA,NA,NA,NA
20,2011,NA,NA,NA,NA,NA
20,2013,NA,NA,NA,NA,NA
21,2005,1,NA,1,0,NA
21,2007,2,3,1,0,NA
21,2011,1,NA,1,0,NA
21,2013,1,NA,1,0,NA
22,2005,NA,NA,NA,NA,NA
22,2007,1,NA,1,0,NA
22,2011,1,NA,1,0,NA
22,2013,1,NA,1,0,NA
23,2005,1,NA,2,0,NA
23,2007,1,NA,2,1,2
23,2011,1,NA,1,0,NA
23,2013,1,NA,1,0,NA
24,2005,NA,NA,NA,0,NA
24,2007,1,NA,1,0,NA
24,2011,1,NA,1,0,NA
24,2013,1,NA,1,0,NA
25,2005,1,NA,1,0,NA
25,2007,1,NA,1,0,NA
25,2011,NA,NA,NA,0,NA
25,2013,3,3,2,1,1
26,2005,1,NA,1,0,NA
26,2007,2,3,3,0,NA
26,2011,1,NA,1,0,NA
26,2013,1,NA,1,0,NA
27,2005,1,NA,1,0,NA
27,2007,2,3,1,0,NA
27,2011,1,NA,1,0,NA
27,2013,1,NA,1,0,NA
28,2005,2,3,2,1,NA
28,2007,4,3,1,0,NA
28,2011,2,3,1,1,1
28,2013,1,NA,1,0,NA
29,2005,NA,NA,NA,NA,NA
29,2007,NA,NA,NA,NA,NA
29,2011,NA,NA,NA,NA,NA
29,2013,NA,NA,NA,NA,NA
30,2005,NA,NA,NA,NA,NA
30,2007,NA,NA,NA,NA,NA
30,2011,NA,NA,NA,NA,NA
30,2013,NA,NA,NA,NA,NA
31,2005,1,NA,1,0,NA
31,2007,1,NA,1,0,NA
31,2011,1,NA,1,0,NA
31,2013,2,3,2,0,NA
32,2005,NA,NA,NA,NA,NA
32,2007,NA,NA,NA,NA,NA
32,2011,2,3,1,0,NA
32,2013,1,NA,1,1,1
33,2005,1,NA,1,1,2
33,2007,1,NA,1,1,1
33,2011,1,NA,1,1,1
33,2013,1,NA,1,1,1
34,2005,1,NA,1,0,NA
34,2007,1,NA,1,0,NA
34,2011,1,NA,1,0,NA
34,2013,NA,NA,1,0,NA
35,2005,1,NA,1,1,1
35,2007,1,NA,1,0,NA
35,2011,1,NA,1,1,1
35,2013,1,NA,1,1,1
36,2005,4,3,4,1,1
36,2007,1,NA,1,0,NA
36,2011,2,1,2,0,NA
36,2013,NA,NA,1,0,NA
37,2005,1,NA,1,0,NA
37,2007,1,NA,1,0,NA
37,2011,1,NA,1,0,NA
37,2013,1,NA,1,0,NA
38,2005,1,NA,1,0,NA
38,2007,1,NA,1,0,NA
38,2011,1,NA,1,1,1
38,2013,1,NA,1,1,1
39,2005,1,NA,1,0,NA
39,2007,1,NA,1,0,NA
39,2011,2,3,2,0,NA
39,2013,1,NA,1,0,NA
40,2005,NA,NA,NA,NA,NA
40,2007,NA,NA,NA,NA,NA
40,2011,NA,NA,NA,NA,NA
40,2013,NA,NA,NA,NA,NA
41,2005,1,NA,1,0,NA
41,2007,1,NA,1,0,NA
41,2011,1,NA,1,0,NA
41,2013,1,NA,1,0,NA
42,2005,1,NA,1,0,NA
42,2007,1,NA,1,0,NA
42,2011,NA,NA,NA,NA,NA
42,2013,NA,NA,NA,NA,NA
43,2005,2,3,2,0,NA
43,2007,2,3,2,0,NA
43,2011,1,NA,1,0,NA
43,2013,2,3,1,0,NA
44,2005,2,2,1,0,NA
44,2007,2,2,1,0,NA
44,2011,2,3,1,0,NA
44,2013,NA,NA,NA,0,NA
45,2005,1,NA,1,0,NA
45,2007,1,NA,1,0,NA
45,2011,NA,NA,1,0,NA
45,2013,1,NA,1,0,NA
46,2005,NA,NA,NA,NA,NA
46,2007,NA,NA,NA,NA,NA
46,2011,1,NA,1,0,NA
46,2013,2,3,1,0,NA
47,2005,1,NA,1,0,NA
47,2007,1,NA,1,0,NA
47,2011,2,3,1,0,NA
47,2013,1,NA,1,0,NA
48,2005,2,3,2,0,NA
48,2007,1,NA,1,1,NA
48,2011,2,3,1,1,1
48,2013,2,3,1,1,1
49,2005,1,NA,1,0,NA
49,2007,1,NA,1,0,NA
49,2011,1,NA,1,0,NA
49,2013,1,NA,1,0,NA
50,2005,1,NA,1,0,NA
50,2007,1,NA,1,1,1
50,2011,2,3,2,0,NA
50,2013,2,3,1,1,1
51,2005,2,3,2,0,NA
51,2007,1,NA,2,0,NA
51,2011,2,3,1,1,1
51,2013,2,3,1,0,NA
52,2005,1,NA,2,0,NA
52,2007,1,NA,1,0,NA
52,2011,1,NA,1,1,1
52,2013,2,3,NA,1,2
53,2005,2,3,1,0,NA
53,2007,2,3,1,1,1
53,2011,2,3,1,0,NA
53,2013,2,3,1,1,1
54,2005,1,NA,1,0,NA
54,2007,1,NA,1,0,NA
54,2011,2,3,1,0,NA
54,2013,1,NA,1,1,1
55,2005,4,3,1,1,1
55,2007,2,3,1,1,1
55,2011,2,3,2,1,1
55,2013,1,NA,1,1,2
56,2005,2,3,2,1,2
56,2007,1,NA,1,1,2
56,2011,4,3,2,1,2
56,2013,2,3,1,1,2
57,2005,1,NA,NA,0,NA
57,2007,NA,NA,NA,0,NA
57,2011,2,3,2,0,NA
57,2013,3,3,1,0,NA
58,2005,3,3,2,1,2
58,2007,NA,NA,NA,NA,NA
58,2011,3,3,2,1,2
58,2013,2,3,1,0,NA
59,2005,3,3,4,0,NA
59,2007,3,3,2,1,2
59,2011,4,3,2,1,1
59,2013,4,3,4,1,2
60,2005,3,3,2,0,NA
60,2007,3,3,1,0,NA
60,2011,1,NA,1,0,NA
60,2013,NA,NA,NA,NA,NA
61,2005,1,NA,1,0,NA
61,2007,1,NA,1,0,NA
61,2011,1,NA,1,0,NA
61,2013,1,NA,1,0,NA
62,2005,1,NA,1,0,NA
62,2007,1,NA,1,0,NA
62,2011,1,NA,2,0,NA
62,2013,1,NA,1,0,NA
63,2005,4,3,2,1,1
63,2007,2,3,1,0,NA
63,2011,2,3,1,0,NA
63,2013,2,3,1,0,NA
64,2005,2,3,1,0,NA
64,2007,2,3,NA,NA,NA
64,2011,NA,NA,NA,NA,NA
64,2013,NA,NA,NA,NA,NA
65,2005,NA,NA,NA,NA,NA
65,2007,NA,NA,NA,NA,NA
65,2011,4,2,1,0,NA
65,2013,NA,NA,NA,NA,NA
66,2005,1,NA,1,0,NA
66,2007,3,3,2,1,2
66,2011,NA,NA,NA,NA,NA
66,2013,NA,NA,NA,NA,NA
67,2005,1,NA,1,0,NA
67,2007,1,NA,1,0,NA
67,2011,1,NA,1,0,NA
67,2013,1,NA,1,NA,NA
68,2005,2,3,2,1,1
68,2007,4,2,2,1,2
68,2011,4,3,4,0,NA
68,2013,NA,NA,NA,NA,NA
69,2005,1,NA,1,0,NA
69,2007,1,NA,1,0,NA
69,2011,2,3,1,0,NA
69,2013,NA,NA,NA,NA,NA
70,2005,3,3,2,1,1
70,2007,2,3,2,0,NA
70,2011,1,NA,2,1,NA
70,2013,2,3,1,1,1
71,2005,1,NA,1,0,NA
71,2007,1,NA,1,0,NA
71,2011,1,NA,1,0,NA
71,2013,NA,NA,NA,NA,NA
72,2005,2,2,1,0,NA
72,2007,NA,NA,NA,NA,NA
72,2011,NA,NA,NA,NA,NA
72,2013,NA,NA,NA,NA,NA
73,2005,1,NA,1,0,NA
73,2007,NA,NA,NA,NA,NA
73,2011,NA,NA,NA,NA,NA
73,2013,NA,NA,NA,NA,NA
74,2005,1,NA,1,0,NA
74,2007,1,NA,3,1,1
74,2011,2,3,3,1,1
74,2013,2,3,2,0,NA
75,2005,1,NA,1,0,NA
75,2007,1,NA,1,0,NA
75,2011,1,NA,1,0,NA
75,2013,2,3,2,0,NA
76,2005,1,NA,1,1,1
76,2007,1,NA,1,1,1
76,2011,1,NA,1,0,NA
76,2013,NA,NA,NA,NA,NA
77,2005,1,NA,1,0,NA
77,2007,NA,NA,NA,NA,NA
77,2011,NA,NA,NA,NA,NA
