"pubid","year","interestgov","regvote","didvote"
1,2004,2,NA,1
1,2006,4,1,0
1,2008,4,0,NA
1,2010,3,NA,1
2,2004,2,NA,1
2,2006,NA,NA,NA
2,2008,2,NA,1
2,2010,2,NA,1
3,2004,2,0,0
3,2006,NA,NA,NA
3,2008,NA,NA,NA
3,2010,NA,NA,NA
4,2004,4,NA,1
4,2006,4,NA,1
4,2008,3,NA,1
4,2010,3,1,0
5,2004,4,0,0
5,2006,3,1,NA
5,2008,2,1,NA
5,2010,2,NA,1
6,2004,2,NA,1
6,2006,4,NA,1
6,2008,3,NA,1
6,2010,3,NA,1
7,2004,NA,NA,NA
7,2006,2,1,0
7,2008,NA,NA,NA
7,2010,3,1,0
8,2004,1,NA,1
8,2006,1,NA,1
8,2008,NA,NA,NA
8,2010,NA,NA,NA
9,2004,4,0,0
9,2006,4,0,0
9,2008,2,NA,1
9,2010,2,NA,1
10,2004,2,NA,1
10,2006,1,0,0
10,2008,1,NA,1
10,2010,NA,NA,NA
11,2004,4,0,0
11,2006,4,0,0
11,2008,3,0,0
11,2010,4,1,0
12,2004,1,NA,1
12,2006,3,NA,1
12,2008,2,NA,1
12,2010,1,NA,1
13,2004,2,NA,1
13,2006,2,NA,1
13,2008,2,NA,1
13,2010,4,NA,1
14,2004,NA,NA,NA
14,2006,NA,NA,NA
14,2008,NA,NA,NA
14,2010,NA,NA,NA
15,2004,4,NA,0
15,2006,4,1,0
15,2008,NA,NA,NA
15,2010,3,0,0
16,2004,1,NA,1
16,2006,3,NA,0
16,2008,1,NA,1
16,2010,4,1,0
17,2004,3,1,0
17,2006,NA,NA,NA
17,2008,NA,NA,NA
17,2010,NA,NA,NA
18,2004,4,0,0
18,2006,1,0,0
18,2008,1,NA,1
18,2010,4,1,0
19,2004,4,0,0
19,2006,3,0,0
19,2008,NA,NA,NA
19,2010,NA,NA,NA
20,2004,4,0,0
20,2006,NA,NA,NA
20,2008,NA,NA,NA
20,2010,4,0,0
21,2004,3,NA,1
21,2006,4,1,0
21,2008,4,1,NA
21,2010,4,1,0
22,2004,3,0,0
22,2006,NA,NA,NA
22,2008,NA,NA,NA
22,2010,2,1,0
23,2004,3,NA,1
23,2006,2,1,NA
23,2008,1,NA,1
23,2010,3,NA,1
24,2004,4,0,0
24,2006,4,0,0
24,2008,4,0,0
24,2010,4,0,0
25,2004,4,0,0
25,2006,4,0,0
25,2008,4,1,NA
25,2010,3,1,0
26,2004,4,0,0
26,2006,4,NA,0
26,2008,NA,0,NA
26,2010,4,0,0
27,2004,2,1,0
27,2006,2,NA,1
27,2008,2,1,NA
27,2010,2,0,0
28,2004,3,0,0
28,2006,3,0,0
28,2008,4,0,0
28,2010,2,0,0
29,2004,NA,NA,NA
29,2006,NA,NA,NA
29,2008,NA,NA,NA
29,2010,NA,NA,NA
30,2004,NA,NA,NA
30,2006,NA,NA,NA
30,2008,NA,NA,NA
30,2010,NA,NA,NA
31,2004,2,1,0
31,2006,3,1,NA
31,2008,2,1,NA
31,2010,3,1,0
32,2004,3,0,0
32,2006,NA,NA,NA
32,2008,4,0,0
32,2010,2,0,0
33,2004,2,NA,1
33,2006,2,1,0
33,2008,2,NA,1
33,2010,3,1,0
34,2004,4,0,0
34,2006,4,0,0
34,2008,3,0,0
34,2010,4,0,NA
35,2004,2,NA,1
35,2006,1,1,NA
35,2008,2,NA,1
35,2010,2,1,0
36,2004,2,NA,1
36,2006,1,NA,1
36,2008,1,1,NA
36,2010,1,1,NA
37,2004,3,NA,1
37,2006,3,1,0
37,2008,2,1,NA
37,2010,2,1,0
38,2004,4,NA,1
38,2006,2,NA,1
38,2008,3,1,NA
38,2010,2,NA,1
39,2004,2,1,0
39,2006,4,0,0
39,2008,2,NA,1
39,2010,NA,NA,NA
40,2004,4,0,0
40,2006,NA,NA,NA
40,2008,NA,NA,NA
40,2010,NA,NA,NA
41,2004,2,1,0
41,2006,2,0,0
41,2008,2,NA,1
41,2010,2,NA,1
42,2004,3,0,0
42,2006,4,0,0
42,2008,3,0,0
42,2010,4,0,0
43,2004,3,0,0
43,2006,1,0,NA
43,2008,1,0,0
43,2010,2,0,0
44,2004,3,0,0
44,2006,2,1,0
44,2008,2,0,0
44,2010,3,0,0
45,2004,4,NA,1
45,2006,1,NA,1
45,2008,1,1,NA
45,2010,2,1,0
46,2004,4,0,0
46,2006,NA,NA,NA
46,2008,4,0,0
46,2010,NA,NA,NA
47,2004,4,1,0
47,2006,4,0,0
47,2008,3,NA,1
47,2010,4,NA,1
48,2004,3,NA,0
48,2006,1,NA,1
48,2008,1,NA,1
48,2010,1,NA,1
49,2004,4,NA,1
49,2006,4,1,0
49,2008,2,NA,1
49,2010,2,1,0
50,2004,3,NA,0
50,2006,3,0,0
50,2008,3,NA,1
50,2010,1,NA,1
51,2004,1,NA,1
51,2006,2,NA,1
51,2008,2,NA,1
51,2010,2,NA,1
52,2004,1,NA,1
52,2006,1,0,0
52,2008,1,NA,1
52,2010,1,NA,1
53,2004,2,NA,1
53,2006,4,NA,1
53,2008,3,NA,1
53,2010,2,NA,1
54,2004,4,NA,0
54,2006,4,1,0
54,2008,2,1,NA
54,2010,3,1,0
55,2004,2,0,0
55,2006,4,0,0
55,2008,4,1,NA
55,2010,4,1,0
56,2004,2,NA,1
56,2006,2,NA,1
56,2008,2,1,NA
56,2010,3,1,0
57,2004,3,0,0
57,2006,1,1,NA
57,2008,2,1,NA
57,2010,4,NA,1
58,2004,2,NA,0
58,2006,2,0,0
58,2008,2,NA,1
58,2010,2,NA,1
59,2004,1,NA,1
59,2006,3,1,NA
59,2008,1,1,NA
59,2010,1,NA,1
60,2004,2,NA,1
60,2006,2,NA,0
60,2008,1,1,NA
60,2010,2,NA,1
61,2004,4,NA,1
61,2006,4,1,0
61,2008,3,NA,1
61,2010,4,1,NA
62,2004,1,NA,1
62,2006,1,1,0
62,2008,1,1,NA
62,2010,1,NA,1
63,2004,2,NA,1
63,2006,3,1,0
63,2008,2,NA,1
63,2010,4,1,0
64,2004,3,1,0
64,2006,4,1,0
64,2008,4,1,0
64,2010,NA,NA,NA
65,2004,3,0,0
65,2006,2,0,0
65,2008,2,NA,1
