didvote_fsmat1,didvote_fsmat2,didvote_fsmat3,didvote_fsmat4
.3834969,.453535,.7732592,.459397
.2045024,.2809146,.3649083,.3646376
-.0247157,-.0261313,-.0398347,-.0256132
.0151856,.0208598,.0270611,.027253
.0008067,.0000189,.0018183,.1298308
.1004462,.9501864,.0307332,.688199
26.16725,25.51529,32.30507,24.15085
30.33321,30.06107,35.82976,28.44707
4613,3785,3049,3605
.609158,.8212668,.4923967,.7885883
.2351787,.3247757,.4069714,.4293942
-.0415165,-.0546218,-.0167979,-.0485453
.0175263,.024269,.0305795,.0322228
.0005948,.0000404,.0011537,.143654
.3703583,.1524933,.1058184,.3281083
28.73404,29.1168,31.4858,27.79372
31.38078,31.1104,35.71119,29.22425
4613,3785,3049,3605
.0868616,.1233969,.1245324,.1200846
.0122129,.0168416,.0215562,.0221005
-.0056308,-.0083443,-.0080268,-.0079011
.0008792,.0012193,.0015887,.0016054
.0059515,.0002277,.0005531,.0674928
.0026208,.0003221,.2295921,.5255994
43.77592,47.8667,42.96923,36.54967
47.22472,47.18171,44.93349,38.10313
4613,3785,3049,3605
-.1398754,-.2027659,-.2923963,-.1840734
.0826716,.1151423,.1405426,.1460753
.0070312,.0106434,.0151204,.0041253
.0061627,.0086035,.0104589,.0108862
.0001608,.0000423,.0009546,.047483
.6674455,.5525163,.9040492,.7299488
26.87227,26.42377,30.23428,27.72664
31.2441,30.84976,35.25887,31.82347
4613,3785,3049,3605
.0066201,.028311,.03246,.01875
.0159751,.0224884,.027683,.0276126
.0007971,-.0007669,-.0011223,-.0003488
.001194,.0016794,.002085,.0021146
.0116804,.0002681,.0054208,.2022412
.0019998,.0854279,.025139,.1289558
27.98249,26.60954,27.89452,24.23501
34.08661,31.80277,34.03423,28.54961
4613,3785,3049,3605
-.0047264,-.0032527,-.0043405,-.0036367
.0021278,.0030297,.0038355,.0038934
.0004572,.0002657,.0003513,.0001793
.0001562,.000221,.0002812,.0002893
.0018273,.0000268,.0029257,.1069288
.0591234,.4305222,.0996195,.7623684
27.51183,24.59405,27.1049,24.13543
32.88832,29.04903,32.58329,27.94679
4613,3785,3049,3605
-.0077394,-.0009652,-.013868,.0426227
.0207868,.0319406,.037195,.0421652
.0000831,-.0011283,-.0000238,-.0040438
.0016529,.002554,.0029717,.0034239
.0006662,.0023409,.0033843,.1837812
.3000849,.0030239,.274071,.5389816
18.42359,16.42333,18.75923,15.91334
18.6971,19.26564,20.77662,17.41235
4613,3785,3049,3605
