donateamt_ssmat1,donateamt_ssmat2,donateamt_ssmat3,donateamt_ssmat4,donateamt_ssmat5,donateamt_ssmat6,donateamt_ssmat7,donateamt_ssmat8
0.0296993,,0.0335518,,0.028135,,0.0365668,
0.0064476,,0.0057402,,0.0050961,,0.0052002,
,0.0316634,,0.0092331,,0.1400893,,0.1291011
,0.0365961,,0.0358833,,0.0371619,,0.0408801
,0.0162635,,0.0129835,,0.1411894,,0.1176672
,0.0372195,,0.0357965,,0.0363789,,0.0380391
,0.0266648,,-0.0014797,,0.1372089,,0.1132819
,0.0321144,,0.0320815,,0.0316421,,0.0340308
,0.025616,,0.0173696,,0.1532241,,0.1117628
,0.0368748,,0.035992,,0.0365136,,0.0385642
,0.0162929,,0.0061306,,0.151511,,0.1155926
,0.0361407,,0.0349742,,0.0363524,,0.0395369
,0.027719,,0.0213986,,0.1579015,,0.137222
,0.0378798,,0.036972,,0.0382143,,0.0415287
,0.0361203,,0.0238546,,0.1431348,,0.105532
,0.0356749,,0.0348536,,0.0364957,,0.0390776
