volfreqmod_ssmat1,volfreqmod_ssmat2,volfreqmod_ssmat3,volfreqmod_ssmat4,volfreqmod_ssmat5,volfreqmod_ssmat6,volfreqmod_ssmat7,volfreqmod_ssmat8
.0515966,,.0523605,,.0280152,,.0351392,
.0081476,,.0062719,,.0056625,,.0057636,
,.1149546,,.1311643,,.1019205,,.0513693
,.0479828,,.036102,,.0363748,,.0440787
,.1196308,,.1442013,,.0940116,,.0432225
,.0471704,,.036057,,.0356878,,.041238
,.1182211,,.1319082,,.0994964,,.0817252
,.0412065,,.0318521,,.0309552,,.0366748
,.1460499,,.1418301,,.1080341,,.0914619
,.0488316,,.0359724,,.035609,,.0400165
,.0835188,,.1137376,,.1007798,,.0471486
,.0457734,,.0349129,,.0358085,,.0426836
,.1214025,,.1418946,,.1135415,,.0743782
,.0489538,,.0366429,,.0371545,,.0428361
,.0906865,,.1264003,,.107522,,.0594944
,.0466818,,.0353886,,.0363143,,.043387
